REFERENCIA_ENCO;NUMERO_DENTES_Z;DIAMETRO_PRIMITIVO_DP;DIAMETRO_EXTERNO_DE;DIAMETRO_CUBO_D;LARGURA_TOTAL_L;FURO_PILOTO_A;FURO_MAXIMO_B;
1.100.11;11;112,7;127;77;40;25;51;
1.100.12;12;122,67;138;87;40;25;58;
1.100.13;13;132,67;148;98;40;30;65;
1.100.14;14;142,68;158;106;40;30;71;
1.100.15;15;152,71;168;116;40;30;77;
1.100.16;16;162,74;179;98;45;30;65;
1.100.17;17;172,79;189;98;45;30;65;
1.100.18;18;182,84;199;110;45;30;73;
1.100.19;19;192,9;209;110;45;30;73;
1.100.20;20;202,96;220;110;45;30;73;
1.100.21;21;213,03;230;110;45;30;73;
1.100.22;22;223,1;240;110;45;30;73;
1.100.23;23;233,17;250;110;50;35;73;
1.100.24;24;243,25;260;110;50;35;73;
1.100.25;25;253,33;270;110;50;35;73;
1.100.28;28;283,57;301;124;50;35;83;
1.100.30;30;303,75;321;124;56;35;83;
1.100.35;35;354,2;372;124;56;35;83;
1.100.38;38;384,48;422;124;56;35;83;
1.100.40;40;404,67;422;124;56;35;83;
1.100.45;45;455,16;473;124;56;40;83;
1.100.48;48;485,45;503;136;56;40;90;
1.100.54;54;546,05;564;136;65;40;90;
1.100.57;57;576,35;594;136;65;40;90;
1.100.76;76;768,3;786;150;65;40;100;
